screen_id,screen_key,route,render_fn_line,has_header,has_nav,static_analysis,visual_render_320_1920,typography,color_contrast,layout_frame,accessibility,findings
1,trip-map,/trip-map,mobile-app.js:1595,appBar,no,PASS,BLOCKED,NV8,PASS,PASS,PASS,NV8
2,home(homeScreen dead),n/a-not-dispatched,mobile-app.js:3700,topbar,yes,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,dead-code
3,home/first-run,/home /,mobile-app.js:3756,custom-brand,no,PASS,BLOCKED,PASS,PASS,PASS,C6,C6;NV9
4,timeline,/timeline,mobile-app.js:3898,trip-v2-header,yes,PASS,BLOCKED,NV8,NV6,PASS,C3-partial,NV6;NV8
5,flight,/flights/:id,mobile-app.js:4276,appBar-dark,yes,PASS,BLOCKED,NV8,PASS,PASS,C3,C3;NV8
6,missing-detail(helper),n/a,mobile-app.js:4351,appBar,yes,PASS,BLOCKED,PASS,PASS,NV4,PASS,NV4
7,hotel,/hotels/:id,mobile-app.js:4354,appBar,yes,PASS,BLOCKED,NV8,PASS,PASS,C3,C3;NV8
8,bookings(bookingsScreen dead),n/a-not-dispatched,mobile-app.js:4400,appBar,yes,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,dead-code
9,documents,/documents,mobile-app.js:4425,appBar,yes,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
10,trips,/trips,mobile-app.js:4553,journal-header,no,PASS,BLOCKED,NV8,PASS,PASS,PASS,NV8
11,bookings(premium),/bookings,mobile-app.js:4587,appBar,yes,PASS,BLOCKED,NV8,PASS,NV10,PASS,NV10;NV8
12,train,/trains/:id,mobile-app.js:4614,appBar-dark,yes,PASS,BLOCKED,NV8,PASS,PASS,C3,C3;NV8
13,plan,/plans/:id,mobile-app.js:4690,appBar-dark,yes,PASS,BLOCKED,NV8,PASS,PASS,PASS,NV8
14,ready,/ready-offline,mobile-app.js:4849,appBar,yes,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
15,health,/trip-health,mobile-app.js:4862,appBar,yes,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
16,checklist,/before-you-go,mobile-app.js:4884,appBar,yes,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
17,help,/help,mobile-app.js:4944,appBar,yes,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
18,travelers,/travelers,mobile-app.js:4969,appBar,yes,PASS,BLOCKED,NV8,PASS,PASS,PASS,NV8
19,traveler,/travelers/:id,mobile-app.js:4973,appBar,yes,PASS,BLOCKED,NV8,PASS,PASS,PASS,NV8
20,import,/bookings/import,mobile-app.js:4979,appBar,no,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
21,import-review,/bookings/import/review/:id,mobile-app.js:4987,appBar,no,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
22,import-history,/bookings/import/history,mobile-app.js:5038,appBar,yes,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
23,booking-email-inbox,/bookings/email-inbox,mobile-app.js:5051,appBar,yes,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
24,sync,/pending-changes,mobile-app.js:5075,appBar,no,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
25,account,/account,mobile-app.js:5080,appBar,yes,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
26,form(trip/traveler/checklist),/trips/new;/travelers/new;/before-you-go/new,mobile-app.js:5757,appBar,no,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
27,form(booking),/bookings/new[/:kind],mobile-app.js:6076,appBar,no,PASS,BLOCKED,C1;C2,PASS,PASS,PASS,C1;C2
28,no-trip-quick-add(helper),n/a,mobile-app.js:5754,appBar,no,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
29,driver(overlay),state.sheet=driver,mobile-app.js:6182,custom,no,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
30,trip-options,/trip-options,mobile-app.js:6262,appBar,yes,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
31,collaboration,/collaboration,mobile-app.js:6358,appBar-dark,no,PASS,BLOCKED,NV8,PASS,PASS,PASS,NV8
32,add-booking,/bookings/add,mobile-app.js:6837,appBar,no,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
33,weather,/weather,mobile-app.js:6750,appBar-dark,no,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
34,currency,/currency,mobile-app.js:6793,appBar-dark,no,PASS,BLOCKED,C1,NV5,PASS,PASS,C1;NV5
35,esim,/esim,mobile-app.js:6818,appBar-dark,no,PASS,BLOCKED,PASS,NV5,PASS,PASS,NV5
36,loading(splash),startup,mobile-app.js:6923,none,no,PASS,BLOCKED,PASS,PASS,NV3,PASS,NV3
37,error,global-error,mobile-app.js:6926,topbar,yes,PASS,BLOCKED,PASS,PASS,NV4,PASS,NV4
38,google-auth-recovery,auth-handoff,mobile-app.js:6930,custom-brand,no,PASS,BLOCKED,PASS,PASS,NV2,PASS,NV2
39,join,/join/:id,mobile-app.js:6445,appBar,no,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV1,sheet:add,overlay,mobile-app.js:6255,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV2,sheet:document,overlay,mobile-app.js:6852,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV3,sheet:trips,overlay,mobile-app.js:6862,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV4,sheet:first-run-how,overlay,mobile-app.js:6888,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV5,sheet:help,overlay,mobile-app.js:6906,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV6,sheet:notifications,overlay,mobile-app.js:3874,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,C4,C4
OV7,sheet:manual-booking,overlay,mobile-app.js:6848,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV8,sheet:manage-booking,overlay,mobile-app.js:907,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV9,sheet:move-booking,overlay,mobile-app.js:954,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV10,sheet:currency-picker,overlay,mobile-app.js:6198,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV11,sheet:booking-email-trip,overlay,mobile-app.js:6884,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV12,sheet:share,overlay,mobile-app.js:6429,n/a,n/a,PASS,BLOCKED,PASS,PASS,PASS,PASS,none
OV13,picker:date-range,overlay,mobile-app.js:6218,n/a,n/a,PASS,BLOCKED,PASS,PASS,NV1,NV11,NV1;NV11
OV14,picker:trip-setup-ready,overlay,mobile-app.js:6244,n/a,n/a,PASS,BLOCKED,PASS,PASS,NV1,PASS,NV1
